[DEBUG] [2019-04-30 17:11:13][org.springframework.web.context.support.StandardServletEnvironment]Initialized StandardServletEnvironment with PropertySources [StubPropertySource@69153784 {name='servletConfigInitParams', properties=java.lang.Object@3e93f8e}, StubPropertySource@1980640453 {name='servletContextInitParams', properties=java.lang.Object@31c8a28f}, JndiPropertySource@1286985661 {name='jndiProperties', properties=org.springframework.jndi.JndiLocatorDelegate@66a94ea}, MapPropertySource@17168614 {name='systemProperties', properties={java.vendor=Oracle Corporation, sun.java.launcher=SUN_STANDARD, catalina.base=E:\Java-workspace\RJ_WorkSpace\questionBankManage\questionBankManage\target\tomcat, sun.management.compiler=HotSpot 64-Bit Tiered Compilers, catalina.useNaming=true, os.name=Windows 7, sun.boot.class.path=E:\Java\jdk1.8.0_121\jre\lib\resources.jar;E:\Java\jdk1.8.0_121\jre\lib\rt.jar;E:\Java\jdk1.8.0_121\jre\lib\sunrsasign.jar;E:\Java\jdk1.8.0_121\jre\lib\jsse.jar;E:\Java\jdk1.8.0_121\jre\lib\jce.jar;E:\Java\jdk1.8.0_121\jre\lib\charsets.jar;E:\Java\jdk1.8.0_121\jre\lib\jfr.jar;E:\Java\jdk1.8.0_121\jre\classes;E:\Java\eclipse\plugins\org.zeroturnaround.eclipse.embedder_2018.2.2.RELEASE\jrebel\jrebel.jar, java.util.logging.config.file=E:\Java-workspace\RJ_WorkSpace\questionBankManage\questionBankManage\target\tomcat\conf\logging.properties, sun.desktop=windows, java.vm.specification.vendor=Oracle Corporation, java.runtime.version=1.8.0_121-b13, user.name=Administrator, shared.loader=, guice.disable.misplaced.annotation.check=true, tomcat.util.buf.StringCache.byte.enabled=true, java.naming.factory.initial=org.apache.naming.java.javaURLContextFactory, user.language=zh, sun.boot.library.path=E:\Java\jdk1.8.0_121\jre\bin, classworlds.conf=E:\Java-workspace\RJ_WorkSpace\.metadata\.plugins\org.eclipse.m2e.launching\launches\m2conf4886597515335299104.tmp, java.version=1.8.0_121, java.util.logging.manager=org.apache.juli.ClassLoaderLogManager, user.timezone=Asia/Shanghai, sun.arch.data.model=64, rebel.env.ide.product=Eclipse_IDE, java.endorsed.dirs=E:\Java\jdk1.8.0_121\jre\lib\endorsed, sun.cpu.isalist=amd64, sun.jnu.encoding=GBK, file.encoding.pkg=sun.io, package.access=sun.,org.apache.catalina.,org.apache.coyote.,org.apache.tomcat.,org.apache.jasper., file.separator=\, java.specification.name=Java Platform API Specification, m2e.workspace.state=E:\Java-workspace\RJ_WorkSpace\.metadata\.plugins\org.eclipse.m2e.core\workspacestate.properties, java.class.version=52.0, user.country=CN, java.home=E:\Java\jdk1.8.0_121\jre, java.vm.info=mixed mode, os.version=6.1, rebel.workspace.path=E:\Java-workspace\RJ_WorkSpace, path.separator=;, java.vm.version=25.121-b13, user.variant=, java.awt.printerjob=sun.awt.windows.WPrinterJob, tomcat.util.scan.DefaultJarScanner.jarsToSkip=bootstrap.jar,commons-daemon.jar,tomcat-juli.jar,annotations-api.jar,el-api.jar,jsp-api.jar,servlet-api.jar,websocket-api.jar,catalina.jar,catalina-ant.jar,catalina-ha.jar,catalina-tribes.jar,jasper.jar,jasper-el.jar,ecj-*.jar,tomcat-api.jar,tomcat-util.jar,tomcat-coyote.jar,tomcat-dbcp.jar,tomcat-jni.jar,tomcat-spdy.jar,tomcat-i18n-en.jar,tomcat-i18n-es.jar,tomcat-i18n-fr.jar,tomcat-i18n-ja.jar,tomcat-juli-adapters.jar,catalina-jmx-remote.jar,catalina-ws.jar,tomcat-jdbc.jar,tools.jar,commons-beanutils*.jar,commons-codec*.jar,commons-collections*.jar,commons-dbcp*.jar,commons-digester*.jar,commons-fileupload*.jar,commons-httpclient*.jar,commons-io*.jar,commons-lang*.jar,commons-logging*.jar,commons-math*.jar,commons-pool*.jar,jstl.jar,geronimo-spec-jaxrpc*.jar,wsdl4j*.jar,ant.jar,ant-junit*.jar,aspectj*.jar,jmx.jar,h2*.jar,hibernate*.jar,httpclient*.jar,jmx-tools.jar,jta*.jar,log4j.jar,log4j-1*.jar,mail*.jar,slf4j*.jar,xercesImpl.jar,xmlParserAPIs.jar,xml-apis.jar,junit.jar,junit-*.jar,hamcrest*.jar,org.hamcrest*.jar,ant-launcher.jar, sun.io.unicode.encoding=UnicodeLittle, awt.toolkit=sun.awt.windows.WToolkit, rebel.properties=C:\Users\Administrator\.jrebel\jrebel.properties, package.definition=sun.,java.,org.apache.catalina.,org.apache.coyote.,org.apache.tomcat.,org.apache.jasper., rebel.env.ide.version=4.9.0, user.script=, java.naming.factory.url.pkgs=org.apache.naming, user.home=C:\Users\Administrator, org.apache.catalina.startup.ContextConfig.jarsToSkip=, java.specification.vendor=Oracle Corporation, rebel.env.ide=eclipse, java.library.path=E:\Java\jdk1.8.0_121\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;E:\Java\jdk1.8.0_121\jre\bin;E:/Java/jre1.8.0_121/bin/server;E:/Java/jre1.8.0_121/bin;E:/Java/jre1.8.0_121/lib/amd64;D:\NetSarang\Xftp 6\;D:\NetSarang\Xshell 6\;E:\Oracle\app\Administrator\product\11.2.0\dbhome_1\bin;C:\ProgramData\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;E:\Epoint\eclipse_epoint\jdk1.8.0_60\bin;D:\MySQL\MySql\epoint_mysql_5.7.20\mysql-5.7.20-winx64\bin;E:\Epoint\eclipse_epoint\apache-maven-3.2.5\bin;D:\Git\cmd;C:\Program Files\Microsoft SQL Server\110\DTS\Binn\;D:\SQLServer\Microsoft SQL Server\110\Tools\Binn\;C:\Program Files\Microsoft SQL Server\110\Tools\Binn\;D:\SQLServer\Microsoft SQL Server\110\Tools\Binn\ManagementStudio\;C:\Program Files (x86)\Microsoft Visual Studio 10.0\Common7\IDE\PrivateAssemblies\;D:\SQLServer\Microsoft SQL Server\110\DTS\Binn\;D:\SVN\TortoiseSVN\bin;E:\Java\jdk1.8.0_121\bin;E:\Java\eclipse;;., java.vendor.url=http://java.oracle.com/, org.apache.catalina.startup.TldConfig.jarsToSkip=tomcat7-websocket.jar, java.vm.vendor=Oracle Corporation, common.loader=${catalina.base}/lib,${catalina.base}/lib/*.jar,${catalina.home}/lib,${catalina.home}/lib/*.jar, maven.home=E:\Java-workspace\RJ_WorkSpace\questionBankManage\questionBankManage\EMBEDDED, java.runtime.name=Java(TM) SE Runtime Environment, rebel.env.ide.plugin.version=2018.2.2, sun.java.command=org.codehaus.plexus.classworlds.launcher.Launcher -B -gs E:\Java\apache-maven-3.5.4\conf\settings.xml -s E:\Java\apache-maven-3.5.4\conf\settings.xml tomcat7:run, java.class.path=E:\Java\eclipse\plugins\org.eclipse.m2e.maven.runtime_1.9.1.20180912-1600\jars\plexus-classworlds-2.5.2.jar;E:\Java\eclipse\configuration\org.eclipse.osgi\419\0\.cp\lib\javaagent-shaded.jar, java.vm.specification.name=Java Virtual Machine Specification, catalina.home=E:\Java-workspace\RJ_WorkSpace\questionBankManage\questionBankManage\target\tomcat, java.vm.specification.version=1.8, sun.cpu.endian=little, sun.os.patch.level=Service Pack 1, java.io.tmpdir=C:\Users\ADMINI~1\AppData\Local\Temp\, java.vendor.url.bug=http://bugreport.sun.com/bugreport/, maven.multiModuleProjectDirectory=E:\Java-workspace\RJ_WorkSpace\questionBankManage\questionBankManage, server.loader=, os.arch=amd64, java.awt.graphicsenv=sun.awt.Win32GraphicsEnvironment, java.ext.dirs=E:\Java\jdk1.8.0_121\jre\lib\ext;C:\Windows\Sun\Java\lib\ext, user.dir=E:\Java-workspace\RJ_WorkSpace\questionBankManage\questionBankManage, rebel.base=C:\Users\Administrator\.jrebel, line.separator=
, rebel.notification.url=http://localhost:17434, java.vm.name=Java HotSpot(TM) 64-Bit Server VM, file.encoding=UTF-8, java.specification.version=1.8, rebel.native.image=E:\Java\eclipse\plugins\org.zeroturnaround.eclipse.embedder_2018.2.2.RELEASE\jrebel\lib\jrebel64.dll}}, SystemEnvironmentPropertySource@1974337171 {name='systemEnvironment', properties={PATH=E:\Java\jdk1.8.0_121\jre\bin;E:/Java/jre1.8.0_121/bin/server;E:/Java/jre1.8.0_121/bin;E:/Java/jre1.8.0_121/lib/amd64;D:\NetSarang\Xftp 6\;D:\NetSarang\Xshell 6\;E:\Oracle\app\Administrator\product\11.2.0\dbhome_1\bin;C:\ProgramData\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;E:\Epoint\eclipse_epoint\jdk1.8.0_60\bin;D:\MySQL\MySql\epoint_mysql_5.7.20\mysql-5.7.20-winx64\bin;E:\Epoint\eclipse_epoint\apache-maven-3.2.5\bin;D:\Git\cmd;C:\Program Files\Microsoft SQL Server\110\DTS\Binn\;D:\SQLServer\Microsoft SQL Server\110\Tools\Binn\;C:\Program Files\Microsoft SQL Server\110\Tools\Binn\;D:\SQLServer\Microsoft SQL Server\110\Tools\Binn\ManagementStudio\;C:\Program Files (x86)\Microsoft Visual Studio 10.0\Common7\IDE\PrivateAssemblies\;D:\SQLServer\Microsoft SQL Server\110\DTS\Binn\;D:\SVN\TortoiseSVN\bin;E:\Java\jdk1.8.0_121\bin;E:\Java\eclipse;, LOCALAPPDATA=C:\Users\Administrator\AppData\Local, PROCESSOR_LEVEL=6, SYSTEMDRIVE=C:, COMMONPROGRAMFILES(X86)=C:\Program Files (x86)\Common Files, FP_NO_HOST_CHECK=NO, USERDOMAIN=PC-201609061902, LOGONSERVER=\\PC-201609061902, JAVA_HOME=E:\Epoint\eclipse_epoint\jdk1.8.0_60, PROMPT=$P$G, SESSIONNAME=Console, ALLUSERSPROFILE=C:\ProgramData, PROGRAMFILES(X86)=C:\Program Files (x86), PROCESSOR_ARCHITECTURE=AMD64, TNS_ADMIN=E:\PLSQL\PLSQL\PLSQL\instantclient_11_2, AV_APPDATA=C:\Users\ADMINI~1\AppData\Roaming, MAVEN_HOME=E:\Epoint\eclipse_epoint\apache-maven-3.2.5, PROGRAMFILES=C:\Program Files, WINDOWS_TRACING_FLAGS=3, APPDATA=C:\Users\Administrator\AppData\Roaming, PSMODULEPATH=C:\Windows\system32\WindowsPowerShell\v1.0\Modules\;D:\SQLServer\Microsoft SQL Server\110\Tools\PowerShell\Modules\, PROGRAMW6432=C:\Program Files, PROGRAMDATA=C:\ProgramData, SYSTEMROOT=C:\Windows, USERNAME=Administrator, PATHEXT=.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC, OS=Windows_NT, COMMONPROGRAMW6432=C:\Program Files\Common Files, COMPUTERNAME=PC-201609061902, COMMONPROGRAMFILES=C:\Program Files\Common Files, COMSPEC=C:\Windows\system32\cmd.exe, PROCESSOR_REVISION=4501, CLASSPATH=.;E:\Epoint\eclipse_epoint\jdk1.8.0_60\lib\toos.jar;E:\Epoint\eclipse_epoint\jdk1.8.0_60\lib\dt.jar, NLS_LANG=SIMPLIFIED CHINESE_CHINA.ZHS16GBK, DEVMGR_SHOW_DETAILS=1, WINDIR=C:\Windows, HOMEPATH=\Users\Administrator, TEMP=C:\Users\ADMINI~1\AppData\Local\Temp, HOMEDRIVE=C:, PROCESSOR_IDENTIFIER=Intel64 Family 6 Model 69 Stepping 1, GenuineIntel, USERPROFILE=C:\Users\Administrator, TMP=C:\Users\ADMINI~1\AppData\Local\Temp, PUBLIC=C:\Users\Public, LNKENV=D:\360安全浏览器\360se6\Application\360se.exe, NUMBER_OF_PROCESSORS=4, #ENVTSLOGSSS2360=39160496}}]  org.springframework.core.env.AbstractEnvironment.<init>(AbstractEnvironment.java:124)
[INFO] [2019-04-30 17:11:13][org.springframework.web.servlet.DispatcherServlet]FrameworkServlet 'SpringMVC': initialization started  org.springframework.web.servlet.FrameworkServlet.initServletBean(FrameworkServlet.java:489)
[DEBUG] [2019-04-30 17:11:13][org.springframework.web.servlet.DispatcherServlet]Servlet with name 'SpringMVC' will try to create custom WebApplicationContext context of class 'org.springframework.web.context.support.XmlWebApplicationContext', using parent context [Root WebApplicationContext: startup date [Tue Apr 30 17:11:10 CST 2019]; root of context hierarchy]  org.springframework.web.servlet.FrameworkServlet.createWebApplicationContext(FrameworkServlet.java:617)
[DEBUG] [2019-04-30 17:11:13][org.springframework.jndi.JndiTemplate]Looking up JNDI object with name [java:comp/env/spring.profiles.active]  org.springframework.jndi.JndiTemplate.lookup(JndiTemplate.java:150)
[DEBUG] [2019-04-30 17:11:13][org.springframework.jndi.JndiLocatorDelegate]Converted JNDI name [java:comp/env/spring.profiles.active] not found - trying original name [spring.profiles.active]. javax.naming.NameNotFoundException: Name [spring.profiles.active] is not bound in this Context. Unable to find [spring.profiles.active].  org.springframework.jndi.JndiLocatorSupport.lookup(JndiLocatorSupport.java:101)
[DEBUG] [2019-04-30 17:11:13][org.springframework.jndi.JndiTemplate]Looking up JNDI object with name [spring.profiles.active]  org.springframework.jndi.JndiTemplate.lookup(JndiTemplate.java:150)
[DEBUG] [2019-04-30 17:11:13][org.springframework.jndi.JndiPropertySource]JNDI lookup for name [spring.profiles.active] threw NamingException with message: Name [spring.profiles.active] is not bound in this Context. Unable to find [spring.profiles.active].. Returning null.  org.springframework.jndi.JndiPropertySource.getProperty(JndiPropertySource.java:99)
[DEBUG] [2019-04-30 17:11:13][org.springframework.core.env.PropertySourcesPropertyResolver]Could not find key 'spring.profiles.active' in any property source  org.springframework.core.env.PropertySourcesPropertyResolver.getProperty(PropertySourcesPropertyResolver.java:92)
[DEBUG] [2019-04-30 17:11:13][org.springframework.jndi.JndiTemplate]Looking up JNDI object with name [java:comp/env/spring.profiles.default]  org.springframework.jndi.JndiTemplate.lookup(JndiTemplate.java:150)
[DEBUG] [2019-04-30 17:11:13][org.springframework.jndi.JndiLocatorDelegate]Converted JNDI name [java:comp/env/spring.profiles.default] not found - trying original name [spring.profiles.default]. javax.naming.NameNotFoundException: Name [spring.profiles.default] is not bound in this Context. Unable to find [spring.profiles.default].  org.springframework.jndi.JndiLocatorSupport.lookup(JndiLocatorSupport.java:101)
[DEBUG] [2019-04-30 17:11:13][org.springframework.jndi.JndiTemplate]Looking up JNDI object with name [spring.profiles.default]  org.springframework.jndi.JndiTemplate.lookup(JndiTemplate.java:150)
[DEBUG] [2019-04-30 17:11:13][org.springframework.jndi.JndiPropertySource]JNDI lookup for name [spring.profiles.default] threw NamingException with message: Name [spring.profiles.default] is not bound in this Context. Unable to find [spring.profiles.default].. Returning null.  org.springframework.jndi.JndiPropertySource.getProperty(JndiPropertySource.java:99)
[DEBUG] [2019-04-30 17:11:13][org.springframework.core.env.PropertySourcesPropertyResolver]Could not find key 'spring.profiles.default' in any property source  org.springframework.core.env.PropertySourcesPropertyResolver.getProperty(PropertySourcesPropertyResolver.java:92)
[DEBUG] [2019-04-30 17:11:13][org.springframework.web.context.support.StandardServletEnvironment]Replacing PropertySource 'servletContextInitParams' with 'servletContextInitParams'  org.springframework.core.env.MutablePropertySources.replace(MutablePropertySources.java:170)
[DEBUG] [2019-04-30 17:11:13][org.springframework.web.context.support.StandardServletEnvironment]Replacing PropertySource 'servletConfigInitParams' with 'servletConfigInitParams'  org.springframework.core.env.MutablePropertySources.replace(MutablePropertySources.java:170)
[INFO] [2019-04-30 17:11:13][org.springframework.web.context.support.XmlWebApplicationContext]Refreshing WebApplicationContext for namespace 'SpringMVC-servlet': startup date [Tue Apr 30 17:11:13 CST 2019]; parent: Root WebApplicationContext  org.springframework.context.support.AbstractApplicationContext.prepareRefresh(AbstractApplicationContext.java:583)
[DEBUG] [2019-04-30 17:11:13][org.springframework.core.env.StandardEnvironment]Adding PropertySource 'systemProperties' with lowest search precedence  org.springframework.core.env.MutablePropertySources.addLast(MutablePropertySources.java:106)
[DEBUG] [2019-04-30 17:11:13][org.springframework.core.env.StandardEnvironment]Adding PropertySource 'systemEnvironment' with lowest search precedence  org.springframework.core.env.MutablePropertySources.addLast(MutablePropertySources.java:106)
[DEBUG] [2019-04-30 17:11:13][org.springframework.core.env.StandardEnvironment]Initialized StandardEnvironment with PropertySources [MapPropertySource@1265291377 {name='systemProperties', properties={java.vendor=Oracle Corporation, sun.java.launcher=SUN_STANDARD, catalina.base=E:\Java-workspace\RJ_WorkSpace\questionBankManage\questionBankManage\target\tomcat, sun.management.compiler=HotSpot 64-Bit Tiered Compilers, catalina.useNaming=true, os.name=Windows 7, sun.boot.class.path=E:\Java\jdk1.8.0_121\jre\lib\resources.jar;E:\Java\jdk1.8.0_121\jre\lib\rt.jar;E:\Java\jdk1.8.0_121\jre\lib\sunrsasign.jar;E:\Java\jdk1.8.0_121\jre\lib\jsse.jar;E:\Java\jdk1.8.0_121\jre\lib\jce.jar;E:\Java\jdk1.8.0_121\jre\lib\charsets.jar;E:\Java\jdk1.8.0_121\jre\lib\jfr.jar;E:\Java\jdk1.8.0_121\jre\classes;E:\Java\eclipse\plugins\org.zeroturnaround.eclipse.embedder_2018.2.2.RELEASE\jrebel\jrebel.jar, java.util.logging.config.file=E:\Java-workspace\RJ_WorkSpace\questionBankManage\questionBankManage\target\tomcat\conf\logging.properties, sun.desktop=windows, java.vm.specification.vendor=Oracle Corporation, java.runtime.version=1.8.0_121-b13, user.name=Administrator, shared.loader=, guice.disable.misplaced.annotation.check=true, tomcat.util.buf.StringCache.byte.enabled=true, java.naming.factory.initial=org.apache.naming.java.javaURLContextFactory, user.language=zh, sun.boot.library.path=E:\Java\jdk1.8.0_121\jre\bin, classworlds.conf=E:\Java-workspace\RJ_WorkSpace\.metadata\.plugins\org.eclipse.m2e.launching\launches\m2conf4886597515335299104.tmp, java.version=1.8.0_121, java.util.logging.manager=org.apache.juli.ClassLoaderLogManager, user.timezone=Asia/Shanghai, sun.arch.data.model=64, rebel.env.ide.product=Eclipse_IDE, java.endorsed.dirs=E:\Java\jdk1.8.0_121\jre\lib\endorsed, sun.cpu.isalist=amd64, sun.jnu.encoding=GBK, file.encoding.pkg=sun.io, package.access=sun.,org.apache.catalina.,org.apache.coyote.,org.apache.tomcat.,org.apache.jasper., file.separator=\, java.specification.name=Java Platform API Specification, m2e.workspace.state=E:\Java-workspace\RJ_WorkSpace\.metadata\.plugins\org.eclipse.m2e.core\workspacestate.properties, java.class.version=52.0, user.country=CN, java.home=E:\Java\jdk1.8.0_121\jre, java.vm.info=mixed mode, os.version=6.1, rebel.workspace.path=E:\Java-workspace\RJ_WorkSpace, path.separator=;, java.vm.version=25.121-b13, user.variant=, java.awt.printerjob=sun.awt.windows.WPrinterJob, tomcat.util.scan.DefaultJarScanner.jarsToSkip=bootstrap.jar,commons-daemon.jar,tomcat-juli.jar,annotations-api.jar,el-api.jar,jsp-api.jar,servlet-api.jar,websocket-api.jar,catalina.jar,catalina-ant.jar,catalina-ha.jar,catalina-tribes.jar,jasper.jar,jasper-el.jar,ecj-*.jar,tomcat-api.jar,tomcat-util.jar,tomcat-coyote.jar,tomcat-dbcp.jar,tomcat-jni.jar,tomcat-spdy.jar,tomcat-i18n-en.jar,tomcat-i18n-es.jar,tomcat-i18n-fr.jar,tomcat-i18n-ja.jar,tomcat-juli-adapters.jar,catalina-jmx-remote.jar,catalina-ws.jar,tomcat-jdbc.jar,tools.jar,commons-beanutils*.jar,commons-codec*.jar,commons-collections*.jar,commons-dbcp*.jar,commons-digester*.jar,commons-fileupload*.jar,commons-httpclient*.jar,commons-io*.jar,commons-lang*.jar,commons-logging*.jar,commons-math*.jar,commons-pool*.jar,jstl.jar,geronimo-spec-jaxrpc*.jar,wsdl4j*.jar,ant.jar,ant-junit*.jar,aspectj*.jar,jmx.jar,h2*.jar,hibernate*.jar,httpclient*.jar,jmx-tools.jar,jta*.jar,log4j.jar,log4j-1*.jar,mail*.jar,slf4j*.jar,xercesImpl.jar,xmlParserAPIs.jar,xml-apis.jar,junit.jar,junit-*.jar,hamcrest*.jar,org.hamcrest*.jar,ant-launcher.jar, sun.io.unicode.encoding=UnicodeLittle, awt.toolkit=sun.awt.windows.WToolkit, rebel.properties=C:\Users\Administrator\.jrebel\jrebel.properties, package.definition=sun.,java.,org.apache.catalina.,org.apache.coyote.,org.apache.tomcat.,org.apache.jasper., rebel.env.ide.version=4.9.0, user.script=, java.naming.factory.url.pkgs=org.apache.naming, user.home=C:\Users\Administrator, org.apache.catalina.startup.ContextConfig.jarsToSkip=, java.specification.vendor=Oracle Corporation, rebel.env.ide=eclipse, java.library.path=E:\Java\jdk1.8.0_121\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;E:\Java\jdk1.8.0_121\jre\bin;E:/Java/jre1.8.0_121/bin/server;E:/Java/jre1.8.0_121/bin;E:/Java/jre1.8.0_121/lib/amd64;D:\NetSarang\Xftp 6\;D:\NetSarang\Xshell 6\;E:\Oracle\app\Administrator\product\11.2.0\dbhome_1\bin;C:\ProgramData\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;E:\Epoint\eclipse_epoint\jdk1.8.0_60\bin;D:\MySQL\MySql\epoint_mysql_5.7.20\mysql-5.7.20-winx64\bin;E:\Epoint\eclipse_epoint\apache-maven-3.2.5\bin;D:\Git\cmd;C:\Program Files\Microsoft SQL Server\110\DTS\Binn\;D:\SQLServer\Microsoft SQL Server\110\Tools\Binn\;C:\Program Files\Microsoft SQL Server\110\Tools\Binn\;D:\SQLServer\Microsoft SQL Server\110\Tools\Binn\ManagementStudio\;C:\Program Files (x86)\Microsoft Visual Studio 10.0\Common7\IDE\PrivateAssemblies\;D:\SQLServer\Microsoft SQL Server\110\DTS\Binn\;D:\SVN\TortoiseSVN\bin;E:\Java\jdk1.8.0_121\bin;E:\Java\eclipse;;., java.vendor.url=http://java.oracle.com/, org.apache.catalina.startup.TldConfig.jarsToSkip=tomcat7-websocket.jar, java.vm.vendor=Oracle Corporation, common.loader=${catalina.base}/lib,${catalina.base}/lib/*.jar,${catalina.home}/lib,${catalina.home}/lib/*.jar, maven.home=E:\Java-workspace\RJ_WorkSpace\questionBankManage\questionBankManage\EMBEDDED, java.runtime.name=Java(TM) SE Runtime Environment, rebel.env.ide.plugin.version=2018.2.2, sun.java.command=org.codehaus.plexus.classworlds.launcher.Launcher -B -gs E:\Java\apache-maven-3.5.4\conf\settings.xml -s E:\Java\apache-maven-3.5.4\conf\settings.xml tomcat7:run, java.class.path=E:\Java\eclipse\plugins\org.eclipse.m2e.maven.runtime_1.9.1.20180912-1600\jars\plexus-classworlds-2.5.2.jar;E:\Java\eclipse\configuration\org.eclipse.osgi\419\0\.cp\lib\javaagent-shaded.jar, java.vm.specification.name=Java Virtual Machine Specification, catalina.home=E:\Java-workspace\RJ_WorkSpace\questionBankManage\questionBankManage\target\tomcat, java.vm.specification.version=1.8, sun.cpu.endian=little, sun.os.patch.level=Service Pack 1, java.io.tmpdir=C:\Users\ADMINI~1\AppData\Local\Temp\, java.vendor.url.bug=http://bugreport.sun.com/bugreport/, maven.multiModuleProjectDirectory=E:\Java-workspace\RJ_WorkSpace\questionBankManage\questionBankManage, server.loader=, os.arch=amd64, java.awt.graphicsenv=sun.awt.Win32GraphicsEnvironment, java.ext.dirs=E:\Java\jdk1.8.0_121\jre\lib\ext;C:\Windows\Sun\Java\lib\ext, user.dir=E:\Java-workspace\RJ_WorkSpace\questionBankManage\questionBankManage, rebel.base=C:\Users\Administrator\.jrebel, line.separator=
